isr_db_id	source	CORE_otu	genus_group	family	order	class	phylum
NZ_JWDE01000001	Gemella_sanguinis_1094_BTHU	Gemella sanguinis	Gemella	Staphylococcaceae	Bacillales	Bacilli	Firmicutes
NZ_JWGF01000004	Streptococcus_cristatus_1015_SOLI	Streptococcus cristatus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JYGJ01000001	Streptococcus_cristatus_CC5A	Streptococcus cristatus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JYGK01000001	Streptococcus_cristatus_CR3	Streptococcus cristatus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_JYOW01000001	Streptococcus_parasanguinis_MGH413	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_KB849228	Acinetobacter_johnsonii_CIP_64_6	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
NZ_KB849702	Acinetobacter_johnsonii_ANC_3681	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
NZ_KB849813	Acinetobacter_haemolyticus_NIPH_261	Acinetobacter haemolyticus	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
NZ_KE332515	Treponema_socranskii_subsp_paredis_ATCC_35535	Treponema socranskii subsp buccale paredis socranskii	Treponema	Spirochaetaceae	Spirochaetales	Spirochaetes	Spirochaetes
NZ_KI669401	Streptococcus_parasanguinis_CC87K	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_KQ759746	Streptococcus_gordonii_ATCC_10558	Streptococcus gordonii	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_KQ971228	Streptococcus_salivarius_GED7778A	Streptococcus vestibularis salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_LAWB01000001	Streptococcus_parasanguinis_BVME8	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_LAWG01000001	Streptococcus_sanguinis_FSS9	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_LAWK01000001	Streptococcus_sanguinis_MB451	Streptococcus sanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_LBMO01000001	Acinetobacter_johnsonii_MB44	Acinetobacter johnsonii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
NZ_LSTU01000001.A	Pseudomonas_monteilii_CD10_2	Pseudomonas monteilii	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
NZ_LSVD01000001	Acinetobacter_haemolyticus_JKSF06	Acinetobacter haemolyticus	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria
NZ_MDRY01000001	Aerococcus_urinaeequi_AV208	Aerococcus urinaeequi	Aerococcus	Aerococcaceae	Lactobacillales	Bacilli	Firmicutes
NZ_NBTN01000001.A	Aggregatibacter_aphrophilus_FDAARGOS_248_737	Aggregatibacter aphrophilus	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
NZ_NBTN01000001.B	Aggregatibacter_aphrophilus_FDAARGOS_248_443	Aggregatibacter aphrophilus	Aggregatibacter	Pasteurellaceae	Pasteurellales	Gammaproteobacteria	Proteobacteria
NZ_NHRV01000001.A	Prevotella_intermedia_KCOM_1107_539	Prevotella intermedia	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
NZ_NHRV01000001.B	Prevotella_intermedia_KCOM_1107_381	Prevotella intermedia	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidetes
